Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1462264560.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483357,31.20831,75.88,75.88,1.0,1.0,1.0,99127,103226,99127,99559,-999,-999,3,3,2,1,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.88,79.88,81.63,81.88,0.0,0.0
1462264561.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483357,31.20831,77.63,77.63,1.0,1.0,1.0,99127,103226,99127,99559,-999,-999,3,3,2,1,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.63,80.13,84.0,87.88,0.0,0.0
1462264562.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483357,31.20831,78.87,78.87,1.0,1.0,1.0,99127,103226,99127,-999,-999,-999,3,3,2,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.87,80.25,88.13,0.0,0.0,0.0
1462264563.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483357,31.208313,77.25,77.25,1.0,1.0,1.0,99127,99127,103226,-999,-999,-999,3,2,3,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.25,82.0,81.13,0.0,0.0,0.0
1462264564.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483352,31.208328,80.87,80.87,1.0,1.0,1.0,99127,103226,99127,-999,-999,-999,3,3,2,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.87,83.75,83.63,0.0,0.0,0.0
1462264565.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483343,31.208355,79.25,79.25,1.0,1.0,1.0,99127,103226,99127,-999,-999,-999,3,3,2,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.25,79.5,79.5,0.0,0.0,0.0
1462264566.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483343,31.208355,77.75,77.75,1.0,1.0,1.0,99127,99127,103226,-999,-999,-999,3,2,3,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.75,82.88,83.0,0.0,0.0,0.0
1462264567.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483323,31.208443,81.88,81.88,1.0,1.0,1.0,99127,103226,99127,99099,99127,-999,3,3,2,2,1,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.88,82.75,82.5,82.13,88.88,0.0
1462264568.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.48331,31.208502,75.0,75.0,1.0,1.0,1.0,99127,103226,99127,-999,-999,-999,3,3,2,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,75.12,79.5,0.0,0.0,0.0
1462264569.0,1.0,1.0,1.0,1.0,1.0,1.0,99127,3,1.0,1.0,121.483292,31.208568,75.75,75.75,1.0,1.0,1.0,99127,99127,103226,-999,-999,-999,3,2,3,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.75,77.25,77.37,0.0,0.0,0.0
1462264570.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483277,31.208643,78.5,78.5,1.0,1.0,1.0,103226,99127,99127,112898,-999,-999,3,3,2,2,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.5,78.37,79.37,90.75,0.0,0.0
1462264571.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483277,31.208643,75.62,75.62,1.0,1.0,1.0,103226,99127,99127,-999,-999,-999,3,3,2,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.62,77.63,80.75,0.0,0.0,0.0
1462264572.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483247,31.208812,65.38,65.38,1.0,1.0,1.0,103226,99099,99127,99127,-999,-999,3,2,3,2,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.38,77.13,66.13,68.75,0.0,0.0
1462264573.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483233,31.208905,66.62,66.62,1.0,1.0,1.0,103226,99099,99127,99127,-999,-999,3,2,3,2,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.62,82.13,67.38,68.13,0.0,0.0
1462264574.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483218,31.209,74.37,74.37,1.0,1.0,1.0,103226,99127,99127,-999,-999,-999,3,2,3,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.37,73.75,75.75,0.0,0.0,0.0
1462264575.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483148,31.209077,69.75,69.75,1.0,1.0,1.0,103226,103226,99127,99127,99127,-999,3,2,2,3,1,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.75,77.75,70.13,76.0,78.25,0.0
1462264576.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483148,31.209077,64.12,64.12,1.0,1.0,1.0,103226,99127,-999,-999,-999,-999,3,3,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.12,87.25,0.0,0.0,0.0,0.0
1462264577.0,1.0,1.0,1.0,1.0,1.0,1.0,103226,3,1.0,1.0,121.483107,31.209253,62.13,62.13,1.0,1.0,1.0,103226,99127,-999,-999,-999,-999,3,2,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.13,69.63,0.0,0.0,0.0,0.0
