Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1462860181.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.486088,31.21069,61.87,61.87,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.87,63.5,61.25,0.0,0.0,0.0
1462860182.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.486083,31.210692,62.75,62.75,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.75,65.88,60.62,0.0,0.0,0.0
1462860183.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.486072,31.210688,63.0,63.0,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,65.13,62.75,0.0,0.0,0.0
1462860184.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.486052,31.210682,62.0,62.0,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,64.0,62.5,0.0,0.0,0.0
1462860185.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.486052,31.210682,62.0,62.0,1.0,1.0,1.0,116773,116773,103226,103226,-999,-999,13,12,13,12,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,64.25,67.5,62.0,0.0,0.0
1462860186.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.485983,31.210657,62.38,62.38,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.38,68.13,60.12,0.0,0.0,0.0
1462860187.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.485935,31.210642,63.12,63.12,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.12,77.88,61.25,0.0,0.0,0.0
1462860188.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.485935,31.210642,62.63,62.63,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.63,65.13,64.0,0.0,0.0,0.0
1462860189.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.485878,31.210627,62.75,62.75,1.0,1.0,1.0,116773,116773,103226,103226,-999,-999,13,12,13,12,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.75,64.38,69.13,60.5,0.0,0.0
1462860190.0,1.0,1.0,1.0,1.0,1.0,1.0,116773,13,1.0,1.0,121.485878,31.210627,62.87,62.87,1.0,1.0,1.0,116773,116773,103226,-999,-999,-999,13,12,12,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.87,63.88,63.0,0.0,0.0,0.0
