LAC,CI,Angle,Longitude,Latitude,Frequency Channel,BCCH Frequency Point,NCC,BCC,TCH Available Count,CCCH Channel Count,GPRS Static Channel Count,GPRS Dinamic Channel Count,Power,Minimum Access LEVEL,TD Threshold,2G-TD CRO,CF Count,EDGE CF Count,Cover Type,Cover Scence,Auto LC Test Area,GSM Neighbor Count,TD Neighbor Count
6243,56225,0,121.463221,31.196141,900,49,7,2,38,2,4,-4,43,102,7,5,6,2,1,1,0,14,3
6243,56209,0,121.451031,31.189111,900,81,3,3,24,2,4,20,43,102,7,5,4,2,1,3,0,20,4
6243,54785,0,121.442851,31.189751,900,14,2,7,12,1,2,10,39,98,7,5,2,2,1,3,0,14,7
6243,54801,0,121.442851,31.189751,900,21,3,0,25,3,4,21,41,98,7,5,4,3,1,2,0,12,7
6243,54802,0,121.442851,31.189751,900,6,0,1,25,3,4,21,41,98,7,5,4,2,1,2,0,7,7
6243,54817,0,121.441821,31.190861,900,27,2,0,12,1,2,10,35,98,7,3,2,2,1,3,0,14,5
6243,54833,0,121.440251,31.190481,900,6,0,2,25,3,4,21,37,102,7,5,4,3,1,3,0,17,6
6243,54849,0,121.440961,31.190411,900,1,4,4,10,3,2,8,37,100,7,5,2,2,1,3,0,14,5
6243,55153,0,121.444011,31.190661,900,49,2,6,27,2,4,23,39,98,7,5,4,2,1,3,0,13,7
6243,55169,0,121.445721,31.188631,900,9,6,2,12,1,2,10,33,98,7,5,2,2,1,2,0,9,10
6243,55041,0,121.442981,31.189281,900,64,6,6,26,2,1,25,39,98,7,5,4,3,1,4,0,9,7
6243,53281,70,121.441761,31.189182,1800,583,3,5,81,1,6,75,42,102,7,5,12,5,2,1,0,33,8
6243,53282,190,121.441761,31.189182,1800,581,6,3,53,2,4,49,42,102,7,5,8,5,2,1,0,31,9
6243,53283,280,121.441761,31.189182,1800,565,3,6,57,1,4,53,42,100,7,4,8,5,2,1,0,31,9
6243,53633,40,121.441761,31.189182,900,11,2,4,47,1,4,43,37,98,7,5,7,5,2,1,0,37,8
6243,53634,190,121.441761,31.189182,900,15,4,1,49,1,2,47,37,102,7,5,7,4,2,1,0,31,9
6243,53635,0,121.441761,31.189182,900,17,2,2,54,1,4,50,37,98,7,5,8,6,2,1,0,37,8
6243,56161,0,121.445671,31.189911,1800,549,2,5,27,2,4,23,43,98,7,5,4,2,1,0,0,10,5
6243,55553,0,121.445671,31.189911,900,36,2,7,34,1,1,33,39,98,7,5,5,3,1,4,0,12,10
6243,55554,0,121.445671,31.189911,900,64,4,3,81,1,4,77,39,96,7,5,11,6,1,4,0,8,10
6243,55555,0,121.445671,31.189911,900,9,7,4,26,2,4,22,39,98,7,4,4,2,1,4,0,11,10
6243,55329,0,121.443621,31.189811,900,17,0,2,11,2,2,9,35,98,7,5,2,2,1,2,0,15,7
6243,53889,350,121.446334,31.190932,900,25,3,2,57,2,8,49,37,100,7,5,8,5,2,1,0,32,8
6243,53890,120,121.446334,31.190932,900,18,5,2,48,2,4,52,39,100,7,5,8,4,2,1,0,34,8
6243,53891,270,121.446334,31.190932,900,13,6,7,47,1,4,43,39,98,7,5,7,5,2,1,0,31,9
6243,55601,0,121.466571,31.191691,900,6,3,7,26,2,4,22,42,98,7,5,4,3,1,5,1,8,5
6243,55602,0,121.466571,31.191691,900,49,4,3,27,1,2,25,42,98,7,3,4,4,1,5,1,6,5
6243,54129,110,121.463396,31.196082,1800,585,2,5,25,2,3,22,39,102,7,5,4,4,2,6,0,26,7
6243,54130,220,121.463396,31.196082,1800,565,2,4,50,2,3,47,41,102,7,5,7,7,2,6,0,20,9
6243,54145,40,121.463396,31.196082,900,21,2,0,46,2,4,42,41,100,7,5,7,5,2,6,0,31,8
6243,54146,220,121.463396,31.196082,900,3,4,7,47,2,3,44,39,102,7,5,7,4,2,6,0,31,9
6243,55121,0,121.447241,31.191131,900,81,2,2,17,3,2,15,40,98,7,5,3,3,1,7,0,9,6
6243,56081,0,121.463421,31.193681,1800,604,2,0,18,2,4,14,42,102,7,5,3,2,1,8,1,15,8
6243,53393,20,121.448643,31.195495,1800,578,6,4,38,2,4,38,42,102,7,5,6,3,2,1,0,31,9
6243,53394,100,121.448643,31.195495,1800,584,0,6,50,2,4,51,42,102,7,5,8,5,2,1,0,30,10
6243,53395,230,121.448643,31.195495,1800,566,3,4,52,1,4,53,42,102,7,5,8,5,2,4,0,32,11
6243,53761,20,121.448643,31.195495,900,26,3,7,24,2,4,20,37,102,7,5,4,3,2,1,0,31,9
6243,53762,100,121.448643,31.195495,900,29,0,1,47,1,4,43,37,102,7,5,7,4,2,1,0,34,10
6243,53763,230,121.448643,31.195495,900,22,5,4,52,2,4,52,37,98,7,5,8,6,2,4,0,35,11
6243,53505,20,121.451582,31.197322,1800,584,0,2,42,2,4,38,42,102,7,5,6,6,2,6,0,32,11
6243,53506,220,121.451582,31.197322,1800,573,6,0,40,2,4,36,42,102,7,5,6,4,2,6,0,21,9
6243,53507,270,121.451582,31.197322,1800,568,2,1,58,1,4,54,42,102,7,5,8,5,2,6,0,31,10
6243,53777,20,121.451582,31.197322,900,28,4,1,44,2,4,40,39,102,7,5,7,4,2,6,0,35,11
6243,53778,220,121.451582,31.197322,900,14,7,6,25,1,4,21,39,102,7,5,4,3,2,6,0,31,9
6243,53779,270,121.451582,31.197322,900,3,6,6,25,1,4,21,37,100,7,5,4,4,2,6,0,36,10
6243,55137,0,121.444281,31.192921,900,9,7,5,25,3,4,21,37,100,7,5,4,3,1,7,0,13,6
6243,56113,0,121.445401,31.194971,1800,625,6,4,26,2,1,25,42,98,7,4,4,2,1,8,0,15,7
6243,53265,20,121.436569,31.188456,1800,576,2,4,72,1,4,68,42,98,7,5,10,8,2,8,0,35,9
6243,53266,130,121.436569,31.188456,1800,583,1,1,53,2,6,47,42,102,7,5,8,5,2,8,0,32,10
6243,53267,220,121.436569,31.188456,1800,573,2,1,56,1,4,52,42,100,7,5,8,3,2,8,0,29,7
6243,53617,10,121.436569,31.188456,900,27,5,3,56,1,4,52,39,102,7,5,8,4,2,8,0,32,9
6243,53618,130,121.436569,31.188456,900,21,7,6,56,1,4,52,39,102,7,5,8,4,2,8,0,33,10
6243,53619,240,121.436569,31.188456,900,19,2,7,26,3,4,22,39,100,7,5,4,2,2,8,0,31,7
6243,54369,10,121.466081,31.192058,1800,577,5,6,33,2,4,29,43,100,7,5,5,2,2,9,1,20,10
6243,54370,120,121.466081,31.192058,1800,582,0,6,27,2,4,23,43,100,7,5,4,3,2,9,1,22,10
6243,54371,220,121.466081,31.192058,1800,579,3,0,26,2,4,22,43,100,7,5,4,3,2,9,1,24,8
6243,55185,0,121.445921,31.195431,900,12,4,3,48,2,4,44,39,102,7,5,7,3,1,10,0,9,6
6243,54865,0,121.437201,31.189101,900,13,6,4,27,1,2,25,39,98,7,5,4,3,1,3,0,17,5
6243,54881,0,121.438281,31.189171,900,3,5,7,58,1,4,54,39,98,7,5,8,5,1,3,0,18,9
6243,54897,0,121.438351,31.188421,900,36,6,3,28,2,4,24,41,98,7,5,4,3,1,3,0,20,5
6243,54913,0,121.443941,31.187731,900,64,2,7,41,2,2,39,37,98,7,4,6,2,1,8,0,15,7
6243,54914,0,121.443941,31.187731,900,13,7,0,41,2,4,37,41,98,7,5,6,3,1,8,0,14,7
6243,54929,0,121.437201,31.189101,900,12,2,5,26,2,2,24,41,98,7,5,4,3,1,3,0,18,5
6243,53329,350,121.452321,31.193257,1800,574,6,7,56,2,4,52,42,98,7,5,8,5,2,6,0,30,9
6243,53330,90,121.452321,31.193257,1800,579,0,6,80,2,4,76,42,102,7,5,11,5,2,1,0,36,10
6243,53331,210,121.452321,31.193257,1800,565,5,6,63,2,4,59,42,102,7,5,9,6,2,1,0,27,9
6243,54305,40,121.452321,31.193257,900,2,1,3,50,1,4,46,42,102,7,5,7,4,2,9,0,26,9
