LAC,CI,longitude,latitude
172,11271,121.5053,31.32784
180,11723,121.34203,31.29776
161,13161,121.25024,31.77174
163,21631,121.4718,31.21833
220,10101,121.40917,31.14361
209,33483,121.22669,31.02364
170,26822,121.49437,31.21881
182,43,121.37917,31.23889
219,52661,121.63558,31.12726
174,10382,121.46916,31.27027
204,21002,121.34444,31.16578
203,25342,121.41991,31.02908
173,45904,121.49534,31.23668
176,1503,121.55445,31.13699
163,10822,121.46147,31.24205
165,40202,121.28463,31.26992
208,33973,121.45371,31.21846
208,20663,121.47494,31.19433
180,24521,121.31293,31.315
161,11442,121.65577,31.5919
204,12523,121.39058,31.12733
166,45843,121.5338,31.26648
169,47581,121.3817,31.18815
164,11763,121.35508,31.38469
171,27241,121.44631,31.22564
172,45483,121.47139,31.34609
173,27581,121.50838,31.23977
166,50183,121.54917,31.28639
163,21531,121.45884,31.22714
209,34212,121.18787,31.01587
204,48041,121.36611,31.17778
209,23453,121.23688,31.02649
166,45721,121.51151,31.26506
212,22353,121.17,31.14287
220,20101,121.40917,31.14361
202,20982,121.30483,31.02045
171,21001,121.43872,31.24375
216,132,121.44648,31.16295
172,35761,121.528,31.31644
169,51422,121.37879,31.19991
201,47333,121.32541,31.14642
173,30093,121.50893,31.24357
161,11272,121.72239,31.60547
180,24372,121.3074,31.27128
166,11231,121.54792,31.27682
210,46343,121.42966,31.18312
209,13913,121.20712,31.02593
202,33761,121.20384,30.9287
171,47432,121.43307,31.21772
211,20812,121.70905,31.05247
177,31052,121.51189,31.3764
177,33462,121.585,31.3083
170,25792,121.5464,31.2113
172,21183,121.48217,31.32283
210,31921,121.43647,31.18374
206,32072,121.80222,31.15083
208,10411,121.47861,31.20417
205,43171,121.42501,31.17199
210,55513,121.43584,31.19481
213,45221,121.50995,31.07901
205,44821,121.4057,31.1713
204,12592,121.37454,31.16985
209,13843,121.18226,31.03879
165,22502,121.08222,31.2325
213,45433,121.50395,31.10067
173,861,121.50831,31.24103
173,45901,121.49534,31.23668
162,10874,121.60552,31.20608
215,25783,121.38331,31.10768
179,45681,121.61114,31.2552
213,2131,121.41019,31.12489
177,30471,121.573,31.3566
161,33302,121.39339,31.64685
166,12101,121.52074,31.26034
181,31902,121.53552,31.30344
217,47131,121.0175,30.92311
174,20521,121.5003,31.2565
214,22791,121.48648,30.93279
174,51434,121.49228,31.26182
172,20782,121.44069,31.30719
203,45151,121.4542,31.02617
178,24312,121.24677,31.39626
172,25363,121.39657,31.32336
210,25301,121.43728,31.19033
219,10851,121.60642,31.15321
162,25845,121.62834,31.26365
211,51593,121.895,30.8831
214,25352,121.31654,30.93834
175,793,121.39158,31.24045
207,20871,121.51568,30.96402
179,52403,121.55,31.2389
201,52591,121.29003,31.10374
179,50752,121.58633,31.24314
178,36883,121.1973,31.40929
219,10601,121.62035,31.18687
169,30792,121.38206,31.19835
209,33973,121.19666,31.06215
218,38143,121.2927,31.19374
170,1472,121.53331,31.23773
211,13503,121.88392,31.01284
213,10533,121.49559,31.07783
210,50792,121.44869,31.19548
175,21492,121.38381,31.21699
182,81,121.35047,31.18266
170,11461,121.53869,31.22411
205,44681,121.39932,31.18909
210,25513,121.43584,31.19481
220,2011,121.41692,31.13562
163,29331,121.4566,31.23281
170,31541,121.53477,31.23602
216,10093,121.44626,31.14891
161,11031,121.74318,31.39428
167,21632,121.44508,31.26721
172,30372,121.4771,31.33899
163,10532,121.48633,31.2175
209,30121,121.19608,31.05089
215,21253,121.43639,31.04742
179,11783,121.57967,31.25099
174,47162,121.48663,31.26577
180,12332,121.38283,31.32267
214,45111,121.32174,30.83525
165,45932,121.27548,31.20719
165,24613,121.25986,31.20125
214,11933,121.24413,30.87621
173,29851,121.48558,31.23476
207,24682,121.69628,30.87586
176,35941,121.4769,31.14665
215,23173,121.37634,31.04465
206,14443,121.67861,31.06731
171,27024,121.44778,31.22888
165,22681,121.2455,31.26353
212,46522,121.17131,31.11313
162,26503,121.62667,31.26274
203,10563,121.5603,31.02047
178,24153,121.21301,31.39147
181,46674,121.51006,31.30229
166,30183,121.54917,31.28639
171,37642,121.42409,31.21334
169,52604,121.3129,31.17703
182,25121,121.36327,31.25471
177,10921,121.55472,31.24667
167,28131,121.43775,31.29064
217,23193,121.13682,30.98188
207,14583,121.57309,30.90268
211,10422,121.79684,31.09268
165,26724,121.21138,31.28826
209,10383,121.28034,31.06461
215,25332,121.393,31.0898
171,10053,121.41895,31.21146
212,20702,121.172,31.1488
210,36222,121.43478,31.18263
208,30322,121.46599,31.19642
177,46891,121.60357,31.28134
164,22222,121.48565,31.39292
165,45421,121.1601,31.30309
204,22311,121.3793,31.1494
218,20021,121.25583,31.15583
211,45022,121.92149,30.89772
178,11533,121.17163,31.36898
178,10203,121.25278,31.37139
173,45771,121.49675,31.24083
174,32082,121.48215,31.28415
201,52883,121.30565,31.14497
171,41044,121.41908,31.20756
178,12332,121.15299,31.38209
180,30143,121.34527,31.28416
171,50321,121.42957,31.21632
162,243,121.61684,31.22693
213,32353,121.41139,31.1221
163,38712,121.48962,31.26974
163,11501,121.46895,31.23775
202,24271,121.30043,31.04685
214,30512,121.47776,30.91688
174,83,121.47833,31.26083
164,12292,121.36681,31.41968
220,151,121.42933,31.1578
165,14583,121.16374,31.29008
218,48281,121.2927,31.19374
176,32572,121.50504,31.1827
211,10072,121.77209,31.06695
173,50411,121.495,31.22639
165,25421,121.1601,31.30309
219,30403,121.66944,31.16583
203,12511,121.49146,31.02305
210,30032,121.43251,31.20063
182,11792,121.34598,31.18928
167,46343,121.45268,31.24955
202,26213,121.21394,31.03355
166,21072,121.53297,31.27642
213,12263,121.42666,31.11043
216,113,121.46778,31.14111
165,11103,121.24048,31.31029
161,45121,121.66408,31.39569
164,371,121.43392,31.36763
210,45741,121.4333,31.19659
173,11791,121.50282,31.20296
161,20623,121.61524,31.5389
202,21463,121.16531,30.88527
172,50482,121.53392,31.32742
165,12271,121.27146,31.27485
181,22631,121.49581,31.30127
210,45213,121.42695,31.19599
168,36471,121.45035,31.24531
171,30771,121.44182,31.21306
202,46731,121.28929,31.02065
203,10061,121.37972,30.99916
214,11793,121.33987,30.9902
210,45891,121.43238,31.19544
171,47372,121.43039,31.21237
173,28952,121.50511,31.2353
178,21013,121.26474,31.41692
162,13021,121.63176,31.2031
213,45362,121.52161,31.08832
172,21083,121.4718,31.32358
206,22021,121.772,31.1208
202,40834,121.3391,30.71712
162,51273,121.66487,31.24006
204,12642,121.40494,31.12624
209,23044,121.2034,31.0339
203,22073,121.5428,31.04205
211,25481,121.75916,31.0551
176,22284,121.51588,31.15131
209,23892,121.2638,31.04107
174,50733,121.47779,31.25361
172,12162,121.48257,31.31368
201,11011,121.25368,31.08229
207,21823,121.638,30.9222
179,30672,121.5554,31.22204
163,51541,121.48573,31.20823
214,23752,121.46786,30.90845
216,47591,121.48382,31.17313
163,21842,121.47916,31.23264
219,45852,121.58435,31.1901
162,26411,121.63027,31.20668
204,22052,121.36208,31.11382
215,52462,121.39642,31.05424
215,11482,121.38195,31.08985
201,21542,121.31132,31.06804
162,2002,121.62186,31.24489
214,14501,121.48211,30.92781
170,28073,121.52574,31.22033
167,31233,121.4538,31.25008
167,30832,121.44046,31.29884
210,27212,121.44226,31.19039
167,12881,121.42968,31.28494
201,20841,121.30316,31.13635
203,30692,121.497,31.0069
210,12202,121.43713,31.20451
178,33991,121.24351,31.36514
168,302,121.41117,31.26132
166,1032,121.53545,31.28278
172,51873,121.38443,31.31434
176,45241,121.49999,31.1815
215,52842,121.44813,31.04303
172,51843,121.39481,31.31878
177,451,121.6283,31.29498
167,27632,121.45235,31.28507
214,20602,121.31325,30.94427
209,34352,121.20971,31.05881
168,31744,121.40809,31.30515
204,10561,121.34887,31.15614
205,52052,121.4236,31.17947
168,523,121.4211,31.29137
161,21923,121.68798,31.39184
208,44313,121.48003,31.20086
207,14823,121.42171,30.8294
169,47493,121.40123,31.19558
179,30411,121.58361,31.20694
172,51613,121.4929,31.3296
215,12302,121.36839,31.06191
174,16131,121.4757,31.27249
171,48742,121.45216,31.23273
201,10301,121.27611,31.11194
210,47301,121.43302,31.19615
166,22751,121.51089,31.27656
216,10762,121.44392,31.14551
215,47021,121.41322,31.06792
162,12982,121.67081,31.28777
169,45941,121.40222,31.20545
171,173,121.45333,31.22367
179,20032,121.5666,31.19949
202,12962,121.37593,30.75273
201,33131,121.3229,31.17793
211,10033,121.79417,31.07388
171,51313,121.44389,31.22806
213,20061,121.60215,31.10132
181,22451,121.50849,31.30374
201,32213,121.30682,31.15689
203,51482,121.43688,30.99293
214,20741,121.48672,30.92143
203,21382,121.4343,31.08344
178,22383,121.17609,31.40691
182,3642,121.32726,31.22202
218,38142,121.2927,31.19374
177,20422,121.5815,31.29844
179,19881,121.56632,31.21413
218,31463,121.28971,31.14925
202,45313,121.26147,31.00615
170,2314,121.52471,31.23991
173,38762,121.48761,31.23186
215,46991,121.35693,31.04096
208,47821,121.49292,31.20398
208,44241,121.46804,31.19465
174,22302,121.49978,31.26759
171,25981,121.43149,31.23952
205,2123,121.42192,31.16474
215,52012,121.39337,31.07338
201,31841,121.3512,31.10583
172,47074,121.52298,31.31334
205,20373,121.42108,31.19662
204,21721,121.37917,31.13267
211,51461,121.77077,31.05086
218,47851,121.2927,31.19374
173,55983,121.49826,31.24145
204,22162,121.37761,31.12375
178,12061,121.22224,31.38024
163,44282,121.47013,31.22429
182,46512,121.29926,31.20192
205,31982,121.42108,31.18427
174,30732,121.47779,31.25361
218,27702,121.2927,31.19374
164,2591,121.43145,31.40604
