longitude,latitude,LAC,CI
121.321895,31.187843,107797,3
121.321895,31.187843,107797,2
121.321895,31.187843,107797,1
121.512601,31.239761,114810,36
121.366102,31.155093,112408,1
121.366102,31.155093,112408,2
,,107002,43
121.064681,30.913801,30992,13
121.064681,30.913801,30992,12
121.064681,30.913801,30992,11
121.512601,31.239761,114810,33
121.328871,31.826981,118694,11
121.328871,31.826981,118694,13
121.328871,31.826981,118694,12
121.045881,30.916731,30995,140
121.045881,30.916731,30995,141
121.045881,30.916731,30995,139
121.512601,31.239761,114810,35
121.431016,30.892545,113991,11
121.431016,30.892545,113991,12
121.431016,30.892545,113991,13
121.512601,31.239761,114810,34
121.413887,31.200176,111883,11
121.413887,31.200176,111883,12
121.392805,31.268684,103847,11
121.392805,31.268684,103847,12
121.392805,31.268684,103847,13
121.429391,31.146781,113124,33
121.336561,30.746311,102126,33
121.314841,31.289581,109782,34
121.314841,31.289581,109782,33
121.601681,31.131381,111313,34
121.601681,31.131381,111313,35
121.601681,31.131381,111313,33
121.330831,31.242751,110394,33
121.587191,31.030191,111299,33
121.43131,31.32464,113644,33
121.366653,31.003166,104479,11
121.366653,31.003166,104479,12
121.366653,31.003166,104479,13
121.452211,31.220121,99398,4
121.452211,31.220121,99398,1
121.282431,30.847088,114253,11
121.282431,30.847088,114253,12
121.282431,30.847088,114253,13
121.375918,31.164877,100381,2
121.375918,31.164877,100381,3
121.375918,31.164877,100381,1
,,111386,3
,,111386,2
,,111386,1
,,111386,6
,,111386,5
,,111386,4
121.380221,31.186711,116642,33
121.349641,31.280511,111745,11
121.290474,31.363482,105547,11
121.290474,31.363482,105547,12
121.290474,31.363482,105547,13
121.441158,31.353003,101193,2
121.441158,31.353003,101193,3
121.441158,31.353003,101193,1
121.441158,31.353003,101193,6
121.441158,31.353003,101193,4
121.441158,31.353003,101193,5
121.794801,31.469361,106477,34
121.794801,31.469361,106477,33
121.488591,30.837851,101853,1
121.488591,30.837851,101853,2
121.488591,30.837851,101853,3
121.488591,30.837851,101853,4
121.488591,30.837851,101853,5
121.488591,30.837851,101853,6
121.475611,31.293371,112297,33
121.528291,31.254831,104421,33
121.718231,31.526011,102388,33
121.395821,31.291181,109563,33
121.364431,31.075481,116678,33
121.403138,31.289593,113413,13
121.403138,31.289593,113413,12
121.403138,31.289593,113413,11
121.392901,31.352101,105231,1
121.392901,31.352101,105231,2
121.392901,31.352101,105231,3
121.392901,31.352101,105231,4
121.392901,31.352101,105231,5
121.392901,31.352101,105231,6
121.375471,31.356411,109505,12
121.375471,31.356411,109505,13
121.375471,31.356411,109505,11
121.108361,31.092611,31055,11
121.108361,31.092611,31055,12
121.108361,31.092611,31055,13
121.478231,31.090351,106272,11
121.478231,31.090351,106272,12
121.478231,31.090351,106272,13
121.396211,31.631561,118699,1
121.396211,31.631561,118699,2
121.396211,31.631561,118699,3
121.811341,31.058627,115235,13
121.811341,31.058627,115235,12
121.811341,31.058627,115235,11
121.172738,30.810217,114210,13
121.172738,30.810217,114210,12
121.172738,30.810217,114210,11
,,111519,2
,,111519,3
,,111519,1
,,111519,6
,,111519,4
,,111519,5
121.433085,31.313645,108071,11
121.433085,31.313645,108071,12
121.433085,31.313645,108071,13
121.516943,31.238581,111542,11
121.516943,31.238581,111542,13
121.516943,31.238581,111542,12
121.297932,31.054709,100830,1
121.297932,31.054709,100830,2
121.297932,31.054709,100830,3
121.429941,31.237451,107526,1
121.429941,31.237451,107526,2
121.429941,31.237451,107526,3
121.429941,31.237451,107526,4
121.429941,31.237451,107526,5
121.429941,31.237451,107526,6
121.501291,31.239051,98467,33
121.347281,31.105371,104813,11
121.347301,31.105371,104813,12
121.347281,31.105371,104813,13
121.161371,31.102061,108826,13
121.161371,31.102061,108826,12
121.161371,31.102061,108826,11
121.630825,31.307186,102516,2
121.630825,31.307186,102516,3
121.630825,31.307186,102516,1
121.630825,31.307186,102516,6
121.630825,31.307186,102516,4
121.630825,31.307186,102516,5
121.73251,31.06133,103136,45
121.73251,31.06133,103136,44
121.73251,31.06133,103136,43
121.733141,31.062121,103136,35
121.733141,31.062121,103136,34
121.733141,31.062121,103136,33
121.462251,31.407921,109551,43
121.46236,31.40797,109551,33
121.263731,31.398071,118202,1
121.263731,31.398071,118202,2
121.263731,31.398071,118202,3
121.263731,31.398071,118202,4
121.263731,31.398071,118202,5
121.263731,31.398071,118202,6
121.418401,31.275731,110570,11
121.418401,31.275731,110570,12
120.976641,31.084511,117330,12
120.976641,31.084511,117330,13
120.976641,31.084511,117330,11
121.578995,31.326775,110884,11
121.578995,31.326775,110884,13
121.578995,31.326775,110884,12
121.346885,31.235364,115732,1
121.346885,31.235364,115732,3
121.346885,31.235364,115732,2
121.346885,31.235364,115732,5
121.346885,31.235364,115732,4
121.346885,31.235364,115732,6
121.232001,31.016211,100609,2
121.232001,31.016211,100609,3
121.232001,31.016211,100609,1
121.401151,31.397921,105316,13
121.401151,31.397921,105316,12
121.401151,31.397921,105316,11
