Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
14:31:12,MS1,929172,UL,Measurement Report,-999,-999,6205.0,61954.0,63.0,583.0,121.448195,31.19626167,-59.0,-59.0,0.0,0.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.0,64.0,34.0,-999.0,-999.0,-999.0,571.0,578.0,566.0,577.0,573.0,575.0,-53.0,-59.0,-62.0,-77.0,-80.0,-80.0
14:31:13,MS1,929289,UL,Measurement Report,-999,-999,6205.0,61954.0,63.0,583.0,121.448195,31.19626167,-59.0,-59.0,0.0,0.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.0,64.0,34.0,-999.0,-999.0,-999.0,571.0,578.0,566.0,577.0,573.0,575.0,-53.0,-59.0,-62.0,-77.0,-80.0,-80.0
14:31:13,MS1,929407,UL,Measurement Report,-999,-999,6205.0,61954.0,63.0,583.0,121.448195,31.19626167,-65.0,-65.0,6.0,6.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.0,34.0,64.0,-999.0,-999.0,-999.0,571.0,566.0,578.0,573.0,577.0,579.0,-53.0,-59.0,-60.0,-75.0,-76.0,-76.0
14:31:40,MS1,936083,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477933,31.19642833,-70.0,-70.0,0.0,0.0,30.0,-999.0,6243.0,6205.0,-999.0,6243.0,-999.0,-999.0,53393.0,61954.0,-999.0,53395.0,-999.0,-999.0,64.0,63.0,-999.0,34.0,-999.0,582.0,578.0,583.0,568.0,566.0,579.0,-59.0,-60.0,-62.0,-66.0,-67.0,-71.0
14:31:40,MS1,936201,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477933,31.19642833,-70.0,-70.0,0.0,0.0,30.0,-999.0,6205.0,6243.0,-999.0,6243.0,-999.0,-999.0,61954.0,53393.0,-999.0,53395.0,-999.0,-999.0,63.0,64.0,-999.0,34.0,-999.0,582.0,583.0,578.0,579.0,566.0,568.0,-55.0,-64.0,-66.0,-70.0,-71.0,-71.0
14:31:41,MS1,936319,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477933,31.19642833,-65.0,-65.0,0.0,0.0,28.0,-999.0,6243.0,6243.0,-999.0,6205.0,-999.0,-999.0,53393.0,53395.0,-999.0,61954.0,-999.0,-999.0,64.0,34.0,-999.0,63.0,-999.0,582.0,578.0,566.0,579.0,583.0,584.0,-56.0,-66.0,-70.0,-70.0,-71.0,-71.0
14:31:41,MS1,936436,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477767,31.19643167,-68.0,-68.0,0.0,0.0,28.0,6243.0,-999.0,6205.0,6205.0,6243.0,-999.0,53873.0,-999.0,62323.0,62322.0,53393.0,-999.0,0.0,-999.0,45.0,26.0,64.0,-999.0,18.0,582.0,25.0,11.0,578.0,28.0,-41.0,-51.0,-57.0,-58.0,-62.0,-62.0
14:31:42,MS1,936663,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477633,31.19643833,-68.0,-64.0,5.0,5.0,30.0,-999.0,6205.0,6243.0,6243.0,-999.0,-999.0,-999.0,61954.0,53395.0,53393.0,-999.0,-999.0,-999.0,63.0,34.0,64.0,-999.0,-999.0,582.0,583.0,566.0,578.0,579.0,581.0,-51.0,-61.0,-66.0,-70.0,-72.0,-72.0
14:31:43,MS1,936783,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477633,31.19643833,-65.0,-65.0,0.0,0.0,30.0,-999.0,-999.0,6205.0,6243.0,6243.0,-999.0,-999.0,-999.0,61954.0,53395.0,53393.0,-999.0,-999.0,-999.0,63.0,34.0,64.0,-999.0,582.0,579.0,583.0,566.0,578.0,568.0,-58.0,-62.0,-65.0,-68.0,-68.0,-72.0
14:31:43,MS1,936903,UL,Measurement Report,-999,-999,6205.0,61955.0,24.0,571.0,121.4477483,31.19644167,-64.0,-64.0,0.0,0.0,30.0,6243.0,6205.0,-999.0,6205.0,-999.0,-999.0,53873.0,62322.0,-999.0,62323.0,-999.0,-999.0,0.0,26.0,-999.0,45.0,-999.0,37.0,18.0,11.0,582.0,25.0,22.0,26.0,-48.0,-50.0,-54.0,-54.0,-56.0,-59.0
