LAC,CI,longitude,latitude
172,11271,121.509720364,31.325845569
180,11723,121.346610117,31.2958880564
161,13161,121.254712081,31.7698009417
163,21631,121.476328167,31.2163872314
220,10101,121.413812555,31.1417305886
209,33483,121.23110701,31.0215166281
170,26822,121.498820563,31.2168026336
182,43,121.383809208,31.2370474611
219,52661,121.639797417,31.1250341528
174,10382,121.473701012,31.2683575523
204,21002,121.349013928,31.1638518906
203,25342,121.424535531,31.0271305353
173,45904,121.499788596,31.2346780283
176,1503,121.558699952,31.1347819721
163,10822,121.466031754,31.240144581
165,40202,121.28908854,31.267937351
208,33973,121.458290981,31.2165614702
208,20663,121.479455904,31.1923671034
180,24521,121.31744618,31.3130798052
161,11442,121.660059444,31.5898530555
204,12523,121.395219121,31.1254398968
166,45843,121.538117611,31.2643808257
169,47581,121.386337432,31.1862855319
164,11763,121.359694626,31.3828709612
171,27241,121.450909605,31.2237599035
172,45483,121.475930487,31.3442007384
173,27581,121.512781796,31.2377303127
166,50183,121.553445373,31.2842635207
163,21531,121.463407929,31.2252339918
209,34212,121.192343592,31.0137957897
204,48041,121.370726176,31.1758929556
209,23453,121.241290642,31.0243615581
166,45721,121.515902738,31.2630221941
212,22353,121.174520309,31.1409004676
220,20101,121.413812555,31.1417305886
202,20982,121.309303847,31.0183674175
171,21001,121.443337086,31.2418914997
216,132,121.451073791,31.1610386921
172,35761,121.53234035,31.3143760914
169,51422,121.383425397,31.1980487146
201,47333,121.329939722,31.1444459292
173,30093,121.513330144,31.2415303924
161,11272,121.726790813,31.6035346954
180,24372,121.311900551,31.2693324255
166,11231,121.55219782,31.2746921839
210,46343,121.434287134,31.1812453825
209,13913,121.211560755,31.0238303953
202,33761,121.208277704,30.9265477585
171,47432,121.437694862,31.2158578635
211,20812,121.713389266,31.0503302018
177,31052,121.516290828,31.3744022103
177,33462,121.589214544,31.3061340535
170,25792,121.550676382,31.2091460049
172,21183,121.486672555,31.3209024937
210,31921,121.441086062,31.181856405
206,32072,121.806517398,31.1487289015
208,10411,121.483114519,31.2022016947
205,43171,121.429642397,31.1701149367
210,55513,121.44045815,31.1929328506
213,45221,121.514332602,31.0768826275
205,44821,121.410345944,31.1694357896
204,12592,121.379167682,31.1679693075
209,13843,121.186746566,31.0367393571
165,22502,121.086827566,31.2306555281
213,45433,121.508355983,31.0985726955
173,861,121.512712154,31.2389910919
173,45901,121.499788596,31.2346780283
162,10874,121.609719191,31.203867299
215,25783,121.387941979,31.1057744683
179,45681,121.615344976,31.253012547
213,2131,121.414830519,31.1230002175
177,30471,121.577232564,31.3544613116
161,33302,121.398076099,31.6451073399
166,12101,121.525099993,31.2582734198
181,31902,121.5398354,31.3013515958
217,47131,121.021921368,30.9209661863
174,20521,121.504732375,31.2544919861
214,22791,121.490934331,30.9306471255
174,51434,121.496741727,31.2598383558
172,20782,121.445308734,31.3053547973
203,45151,121.458763141,31.0241668383
178,24312,121.251209664,31.3942999726
172,25363,121.401228782,31.3215627977
210,25301,121.441895155,31.1884484581
219,10851,121.610615005,31.1509709445
162,25845,121.632559527,31.26148159
211,51593,121.899082562,30.880709208
214,25352,121.321032007,30.936229879
175,793,121.396229515,31.2386169178
207,20871,121.520032674,30.9618086929
179,52403,121.554269292,31.2367513327
201,52591,121.294483073,31.1016820304
179,50752,121.590538049,31.2409460997
178,36883,121.201789561,31.4073806793
219,10601,121.624555226,31.1846573193
169,30792,121.386698672,31.1964908726
209,33973,121.201121145,31.0600874954
218,38143,121.297165313,31.1917331292
170,1472,121.537626729,31.235619375
211,13503,121.888024079,31.0105315956
213,10533,121.500024208,31.075745001
210,50792,121.453281461,31.1935808135
175,21492,121.388451926,31.2151412578
182,81,121.355057974,31.1807511288
170,11461,121.542989208,31.2219797156
205,44681,121.403967646,31.1872347981
210,25513,121.44045815,31.1929328506
220,2011,121.421557357,31.1337326392
163,29331,121.461174572,31.2309117624
170,31541,121.539082051,31.2339048873
216,10093,121.450853077,31.1469917808
161,11031,121.74757175,31.3923257821
167,21632,121.449685972,31.2653507938
172,30372,121.481621173,31.3370826695
163,10532,121.490809053,31.2155158645
209,30121,121.200541228,31.048821985
215,21253,121.440994411,31.0454622395
179,11783,121.583885102,31.2488039654
174,47162,121.491112126,31.26380678
180,12332,121.387480244,31.3208652069
214,45111,121.326234924,30.8330895433
165,45932,121.279920819,31.2051689124
165,24613,121.26428664,31.1992155733
214,11933,121.248525986,30.8739904572
173,29851,121.490063157,31.2327861015
207,24682,121.700585396,30.8735963967
176,35941,121.481405329,31.1446572926
215,23173,121.380959092,31.0427023899
206,14443,121.682899366,31.0651268776
171,27024,121.452376498,31.2269985765
165,22681,121.249928441,31.2615225347
212,46522,121.175825097,31.1111419427
162,26503,121.630887589,31.260569251
203,10563,121.564527358,31.0181859503
178,24153,121.217473314,31.3895327354
181,46674,121.514461072,31.3002717524
166,30183,121.553445373,31.2842635207
171,37642,121.42872709,31.2114862882
169,52604,121.317404298,31.1750482841
182,25121,121.367888178,31.2528554465
177,10921,121.558978433,31.2445156348
167,28131,121.442373001,31.2888030413
217,23193,121.141387582,30.9798758467
207,14583,121.577284963,30.9003087506
211,10422,121.801144351,31.0905557504
165,26724,121.215836754,31.2862889348
209,10383,121.284774959,31.0625179489
215,25332,121.397637118,31.0878903048
171,10053,121.423592241,31.2096097981
212,20702,121.17651673,31.1468298338
210,36222,121.439398945,31.1807483366
208,30322,121.470534435,31.1944818488
177,46891,121.607775167,31.2791605355
164,22222,121.490146477,31.3910053707
165,45421,121.164654016,31.3012135246
204,22311,121.383931572,31.1475135292
218,20021,121.260250925,31.1537713727
211,45022,121.925572281,30.8953455296
178,11533,121.176166356,31.3671052402
178,10203,121.257218245,31.3694226263
173,45771,121.501193868,31.2388256831
174,32082,121.486649303,31.2822075008
201,52883,121.310136115,31.1429587924
171,41044,121.423721784,31.2057078273
178,12332,121.15756457,31.3802535068
180,30143,121.349855924,31.2822884777
171,50321,121.434200151,31.2144617131
162,243,121.621045857,31.2247336491
213,32353,121.416029724,31.1202082532
163,38712,121.494091893,31.267769657
163,11501,121.473488868,31.2358237988
