,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,52272,121.447674277,31.1964055298,121.448195,31.19626167,121.446515,31.199551
1,52273,121.447674277,31.1964055298,121.448195,31.19626167,121.446515,31.199551
2,52273,121.447674277,31.1964055298,121.448195,31.19626167,121.446515,31.199551
3,52300,121.447448608,31.19612128,121.4477933,31.19642833,121.446515,31.199551
4,52300,121.447497061,31.1963879992,121.4477933,31.19642833,121.446515,31.199551
5,52301,121.447451969,31.1963984637,121.4477933,31.19642833,121.446515,31.199551
6,52301,121.447402271,31.1964100953,121.4477767,31.19643167,121.446515,31.199551
7,52302,121.447348219,31.1964223854,121.4477633,31.19643833,121.446515,31.199551
8,52303,121.447315224,31.1964663162,121.4477633,31.19643833,121.446515,31.199551
9,52303,121.447273088,31.1964786658,121.4477483,31.19644167,121.446515,31.199551
10,52304,121.447232362,31.1964878349,121.4477483,31.19644167,121.446515,31.199551
11,52304,121.447193839,31.1964929815,121.4477317,31.19644,121.446515,31.199551
12,52305,121.447158301,31.1964933547,121.4477317,31.19644,121.446515,31.199551
13,52305,121.44712369,31.1964848285,121.447715,31.19643667,121.446515,31.199551
14,52306,121.447091299,31.1964705247,121.447715,31.19643667,121.446515,31.199551
15,52306,121.447061229,31.1964504174,121.447715,31.19643667,121.446515,31.199551
16,52307,121.447033471,31.1964246958,121.4477,31.19643333,121.446515,31.199551
17,52307,121.447007905,31.1963937459,121.4476833,31.19643,121.446515,31.199551
18,52308,121.446984616,31.1963585375,121.4476833,31.19643,121.446515,31.199551
19,52309,121.446963499,31.1963197624,121.4476517,31.19642167,121.445424,31.194791
20,52310,121.446944377,31.1962781655,121.4476517,31.19642167,121.445424,31.194791
21,52310,121.446927004,31.1962345246,121.4476367,31.19641833,121.445424,31.194791
22,52311,121.446911092,31.19618961,121.4476367,31.19641833,121.445424,31.194791
23,52311,121.446896303,31.1961441325,121.4476367,31.19641833,121.445424,31.194791
24,52312,121.446882275,31.1960987517,121.44762,31.196415,121.445424,31.194791
25,52312,121.446868627,31.1960540311,121.447605,31.19641333,121.445424,31.194791
26,52313,121.446854953,31.1960104241,121.447605,31.19641333,121.445424,31.194791
27,52313,121.446840848,31.1959682584,121.44759,31.19640833,121.445424,31.194791
28,52314,121.446825937,31.1959277662,121.44759,31.19640833,121.445424,31.194791
29,52314,121.446809908,31.1958891061,121.447575,31.19640667,121.445424,31.194791
30,52315,121.446792526,31.1958523641,121.447575,31.19640667,121.445424,31.194791
31,52315,121.446773633,31.1958175644,121.44756,31.19640333,121.445424,31.194791
32,52316,121.446753143,31.1957846691,121.44756,31.19640333,121.445424,31.194791
33,52316,121.446731058,31.1957536015,121.44756,31.19640333,121.445424,31.194791
34,52317,121.446707484,31.1957242816,121.447545,31.19639833,121.445424,31.194791
35,52317,121.44668264,31.195696645,121.4475283,31.19639333,121.445424,31.194791
36,52317,121.44665684,31.195670656,121.4475283,31.19639333,121.445424,31.194791
37,52318,121.446630476,31.1956463009,121.447515,31.19638833,121.445424,31.194791
38,52318,121.446603983,31.195623584,121.447515,31.19638833,121.445424,31.194791
39,52319,121.44657784,31.1956025339,121.4475033,31.196385,121.445424,31.194791
40,52319,121.446552555,31.1955832085,121.4475033,31.196385,121.445424,31.194791
41,52320,121.446528651,31.1955656927,121.44749,31.196375,121.445424,31.194791
42,52320,121.446506631,31.1955500843,121.44749,31.196375,121.445424,31.194791
43,52321,121.446486943,31.1955364728,121.44749,31.196375,121.445424,31.194791
44,52321,121.446469956,31.1955249249,121.44749,31.196375,121.445424,31.194791
45,52322,121.446455956,31.1955154823,121.4474783,31.19636333,121.445424,31.194791
46,52322,121.446445142,31.1955081572,121.4474683,31.19635667,121.445424,31.194791
47,52323,121.446437621,31.1955029282,121.4474683,31.19635667,121.445424,31.194791
48,52323,121.446433389,31.1954997289,121.447455,31.19635167,121.445424,31.194791
49,52324,121.44643232,31.1954984377,121.447455,31.19635167,121.445424,31.194791
50,52324,121.44643418,31.1954988833,121.4474433,31.19634667,121.445424,31.194791
51,52325,121.446438649,31.1955008553,121.4474433,31.19634667,121.445424,31.194791
52,52325,121.446445348,31.1955041176,121.447435,31.19634167,121.445424,31.194791
53,52326,121.44645386,31.1955084181,121.447435,31.19634167,121.445424,31.194791
54,52326,121.446463728,31.1955134895,121.447435,31.19634167,121.445424,31.194791
55,52327,121.446474482,31.195519059,121.4474233,31.19633333,121.445424,31.194791
56,52327,121.446485657,31.1955248604,121.4474083,31.19632667,121.445424,31.194791
57,52328,121.446496827,31.1955306524,121.4474083,31.19632667,121.445424,31.194791
58,52328,121.446507632,31.1955362323,121.447395,31.19631667,121.445424,31.194791
59,52329,121.446517784,31.1955414393,121.447395,31.19631667,121.445424,31.194791
60,52329,121.446527066,31.1955461536,121.4473783,31.1963,121.445424,31.194791
61,52329,121.446535331,31.1955502959,121.4473783,31.1963,121.445424,31.194791
62,52330,121.446542506,31.195553828,121.447365,31.19629333,121.445424,31.194791
63,52330,121.446548596,31.1955567561,121.447365,31.19629333,121.445424,31.194791
64,52331,121.446553677,31.1955591263,121.447365,31.19629333,121.445424,31.194791
65,52331,121.446557877,31.1955610154,121.4473533,31.19628667,121.445424,31.194791
66,52332,121.446561364,31.195562519,121.4473417,31.196285,121.445424,31.194791
67,52332,121.446564319,31.1955637421,121.4473417,31.196285,121.445424,31.194791
68,52333,121.446566932,31.1955647919,121.4473417,31.196285,121.445424,31.194791
69,52333,121.44656939,31.1955657738,121.44733,31.196275,121.445424,31.194791
70,52334,121.446571863,31.1955667834,121.44733,31.196275,121.445424,31.194791
71,52334,121.446574498,31.1955679007,121.4473167,31.19626333,121.445424,31.194791
72,52335,121.446577404,31.1955691854,121.4473167,31.19626333,121.445424,31.194791
73,52335,121.446580655,31.1955706746,121.447305,31.19625333,121.445424,31.194791
74,52336,121.446584291,31.1955723862,121.447305,31.19625333,121.445424,31.194791
75,52336,121.446588316,31.1955743192,121.447305,31.19625333,121.445424,31.194791
76,52337,121.44659271,31.1955764567,121.4472967,31.19624333,121.445424,31.194791
77,52337,121.446597428,31.1955787704,121.4472883,31.19623167,121.445424,31.194791
78,52338,121.44660241,31.1955812234,121.4472883,31.19623167,121.445424,31.194791
79,52338,121.44660759,31.1955837775,121.44728,31.196225,121.445424,31.194791
80,52339,121.446612905,31.1955863961,121.44728,31.196225,121.445424,31.194791
81,52339,121.446618292,31.1955890462,121.4472717,31.19621833,121.445424,31.194791
82,52340,121.446623701,31.1955917027,121.4472717,31.19621833,121.445424,31.194791
83,52340,121.446629092,31.195594348,121.447265,31.19620833,121.445424,31.194791
84,52341,121.446634437,31.1955969747,121.447265,31.19620833,121.445424,31.194791
