,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,1440551926,121.485679188,31.2556801079,121.485131318,31.2565089951,121.483587469,31.2551548015
1,1440551935,121.486163316,31.2553302658,121.484847312,31.256763918,121.483587469,31.2551548015
2,1440551945,121.486133739,31.2551760103,121.484597136,31.2563974725,121.483587469,31.2551548015
3,1440551986,121.486624963,31.2563469669,121.484075791,31.2549583291,121.483587469,31.2551548015
4,1440551987,121.487410118,31.2565456881,121.4840429,31.2549254082,121.483587469,31.2551548015
5,1440556103,121.500171479,31.2275414866,121.501951677,31.2218856005,121.499169595,31.2202131915
6,1440556111,121.500798189,31.2238475924,121.499628013,31.2210622117,121.499169595,31.2202131915
7,1440556227,121.499573798,31.2257331517,121.492216831,31.2242798339,121.492453988,31.2242551216
8,1440556235,121.497889342,31.2266623456,121.492203905,31.224608025,121.492453988,31.2242551216
9,1440556407,121.484637055,31.225095294,121.488819791,31.2243748487,121.488956387,31.2252358513
10,1440556417,121.484837952,31.2248999863,121.488717146,31.2243391312,121.488956387,31.2252358513
11,1440556439,121.484204067,31.2246272608,121.488598555,31.2242804492,121.488956387,31.2252358513
12,1440556449,121.485220174,31.2245413693,121.488658336,31.2241552168,121.488956387,31.2252358513
13,1440556502,121.483833602,31.2250262285,121.489019012,31.2234128193,121.488956387,31.2252358513
14,1440556581,121.486554795,31.2217810651,121.492766685,31.2219931403,121.488487739,31.2219256722
15,1440556585,121.495912604,31.2244703067,121.493129399,31.2220210793,121.491875801,31.2215155494
16,1440556586,121.488010696,31.222424813,121.493222071,31.2220278078,121.488487739,31.2219256722
17,1440556589,121.488940455,31.2222384152,121.493498091,31.2220489993,121.488487739,31.2219256722
18,1440556592,121.488829643,31.2228195021,121.493775107,31.2220701871,121.488487739,31.2219256722
19,1440556602,121.499253511,31.2243504844,121.494712762,31.2220593942,121.499169595,31.2202131915
20,1440556603,121.497740325,31.2245544345,121.494786497,31.2220491699,121.489773217,31.2216117736
21,1440556608,121.497445241,31.2267592982,121.495129268,31.2220031272,121.489773217,31.2216117736
22,1440563610,121.483256625,31.2275848735,121.484202978,31.2272925076,121.4836651,31.2306836015
23,1440563648,121.480831875,31.228436807,121.482603469,31.2280703976,121.481641665,31.2276078855
24,1440563715,121.481266116,31.2290368517,121.481604783,31.2275489615,121.481641665,31.2276078855
25,1440563723,121.482477387,31.2291452598,121.481612757,31.2275529411,121.481641665,31.2276078855
26,1440563737,121.481799725,31.2289153375,121.481692493,31.2275947371,121.481641665,31.2276078855
27,1440563816,121.481301912,31.2285661907,121.481889015,31.2297041607,121.481641665,31.2276078855
28,1440563837,121.480589597,31.2285783008,121.480290334,31.2294705131,121.481641665,31.2276078855
29,1440563839,121.481379386,31.2283625216,121.480319227,31.2293473761,121.4836651,31.2306836015
30,1440563841,121.482452856,31.2283612213,121.480449779,31.2291829378,121.4836651,31.2306836015
31,1440563847,121.481825763,31.2283754077,121.480449779,31.2291829378,121.4836651,31.2306836015
32,1440563938,121.481472822,31.2286902179,121.480090014,31.229645149,121.4836651,31.2306836015
33,1440563979,121.478320658,31.2288944033,121.479714305,31.2301864379,121.478133533,31.2305589511
34,1440563986,121.478226216,31.2290310456,121.479343573,31.2307046993,121.478133533,31.2305589511
35,1440564029,121.4775767,31.2291952003,121.477763879,31.2321897082,121.478133533,31.2305589511
36,1440564295,121.47528631,31.2328210974,121.474139797,31.2355649684,121.474685189,31.2369311472
37,1440564304,121.474469975,31.2346499965,121.474030175,31.2359324249,121.474685189,31.2369311472
38,1440564318,121.473087651,31.2350530355,121.473751133,31.2368515776,121.474685189,31.2369311472
39,1440564327,121.473313902,31.2351544834,121.473696318,31.2370057918,121.474685189,31.2369311472
40,1440564329,121.473016644,31.2349848918,121.473676386,31.2370638705,121.474685189,31.2369311472
41,1440564335,121.473141985,31.2356538637,121.473625559,31.2372220759,121.474685189,31.2369311472
42,1440564365,121.472749922,31.2357451168,121.473409288,31.2378029069,121.474685189,31.2369311472
43,1440564397,121.469367335,31.2429453544,121.4729249,31.2389246817,121.472312995,31.2411292686
44,1440564408,121.469984454,31.2425912067,121.472511262,31.2397731422,121.472312995,31.2411292686
45,1440564433,121.470639194,31.2424935644,121.471613176,31.241331168,121.472312995,31.2411292686
46,1440564442,121.470032225,31.2432918671,121.471518523,31.2419827048,121.472312995,31.2411292686
47,1440564450,121.469181765,31.2430942461,121.47148166,31.2422529211,121.472312995,31.2411292686
48,1440564451,121.469306444,31.2432406258,121.471476678,31.2422859488,121.472312995,31.2411292686
49,1440564456,121.468699964,31.2440716655,121.471452766,31.2424530853,121.472312995,31.2411292686
50,1440564472,121.469476678,31.2437006171,121.471377045,31.2429875199,121.472312995,31.2411292686
