,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,52272,121.447608159,31.196482018,121.448195,31.19626167,121.446515,31.199551
1,52273,121.44767605,31.1964307439,121.448195,31.19626167,121.446515,31.199551
2,52273,121.447703763,31.1964374767,121.448195,31.19626167,121.446515,31.199551
3,52300,121.447593011,31.1964456141,121.4477933,31.19642833,121.446515,31.199551
4,52300,121.447581622,31.1964608145,121.4477933,31.19642833,121.446515,31.199551
5,52301,121.447541512,31.196522708,121.4477933,31.19642833,121.446515,31.199551
6,52301,121.447526319,31.1967226725,121.4477767,31.19643167,121.446515,31.199551
7,52302,121.447443049,31.1967043619,121.4477633,31.19643833,121.446515,31.199551
8,52303,121.447556248,31.1965422967,121.4477633,31.19643833,121.446515,31.199551
9,52303,121.447634951,31.1965642909,121.4477483,31.19644167,121.446515,31.199551
10,52304,121.44763273,31.1965679284,121.4477483,31.19644167,121.446515,31.199551
11,52304,121.44756965,31.1966514755,121.4477317,31.19644,121.446515,31.199551
12,52305,121.447651328,31.196545916,121.4477317,31.19644,121.446515,31.199551
13,52305,121.447580202,31.1966314165,121.447715,31.19643667,121.446515,31.199551
14,52306,121.447638985,31.1965416196,121.447715,31.19643667,121.446515,31.199551
15,52306,121.447544323,31.1966747777,121.447715,31.19643667,121.446515,31.199551
16,52307,121.447545932,31.1966968049,121.4477,31.19643333,121.446515,31.199551
17,52307,121.44756086,31.196675391,121.4476833,31.19643,121.446515,31.199551
18,52308,121.447308394,31.1967983619,121.4476833,31.19643,121.446515,31.199551
19,52309,121.446302207,31.1954502795,121.4476517,31.19642167,121.445424,31.194791
20,52310,121.446177657,31.1954102196,121.4476517,31.19642167,121.445424,31.194791
21,52310,121.446255124,31.1954929587,121.4476367,31.19641833,121.445424,31.194791
22,52311,121.446256094,31.1954188629,121.4476367,31.19641833,121.445424,31.194791
23,52311,121.445653848,31.195097163,121.4476367,31.19641833,121.445424,31.194791
24,52312,121.445478732,31.1950476707,121.44762,31.196415,121.445424,31.194791
25,52312,121.445437583,31.1951128544,121.447605,31.19641333,121.445424,31.194791
26,52313,121.445628032,31.1952144758,121.447605,31.19641333,121.445424,31.194791
27,52313,121.445660367,31.1951683871,121.44759,31.19640833,121.445424,31.194791
28,52314,121.445808082,31.1952804546,121.44759,31.19640833,121.445424,31.194791
29,52314,121.445657175,31.1950936068,121.447575,31.19640667,121.445424,31.194791
30,52315,121.446216601,31.1954064493,121.447575,31.19640667,121.445424,31.194791
31,52315,121.446715598,31.1956349315,121.44756,31.19640333,121.445424,31.194791
32,52316,121.446618309,31.195625926,121.44756,31.19640333,121.445424,31.194791
33,52316,121.446132149,31.1953109044,121.44756,31.19640333,121.445424,31.194791
34,52317,121.446176209,31.1954164702,121.447545,31.19639833,121.445424,31.194791
35,52317,121.446533567,31.1955367647,121.4475283,31.19639333,121.445424,31.194791
36,52317,121.446552135,31.1955158392,121.4475283,31.19639333,121.445424,31.194791
37,52318,121.446206429,31.1953222807,121.447515,31.19638833,121.445424,31.194791
38,52318,121.445985003,31.1952807614,121.447515,31.19638833,121.445424,31.194791
39,52319,121.446065348,31.1952853097,121.4475033,31.196385,121.445424,31.194791
40,52319,121.445999655,31.1952631306,121.4475033,31.196385,121.445424,31.194791
41,52320,121.446019988,31.195267244,121.44749,31.196375,121.445424,31.194791
42,52320,121.445793321,31.1951587658,121.44749,31.196375,121.445424,31.194791
43,52321,121.446006214,31.1952704968,121.44749,31.196375,121.445424,31.194791
44,52321,121.445983164,31.195244965,121.44749,31.196375,121.445424,31.194791
45,52322,121.446035555,31.1952454155,121.4474783,31.19636333,121.445424,31.194791
46,52322,121.445798841,31.1952165553,121.4474683,31.19635667,121.445424,31.194791
47,52323,121.44576313,31.1951899516,121.4474683,31.19635667,121.445424,31.194791
48,52323,121.445704177,31.1951182634,121.447455,31.19635167,121.445424,31.194791
49,52324,121.445755674,31.1951657676,121.447455,31.19635167,121.445424,31.194791
50,52324,121.44574543,31.1951873702,121.4474433,31.19634667,121.445424,31.194791
51,52325,121.445670224,31.1951139871,121.4474433,31.19634667,121.445424,31.194791
52,52325,121.445989717,31.1952586758,121.447435,31.19634167,121.445424,31.194791
53,52326,121.445795948,31.195145316,121.447435,31.19634167,121.445424,31.194791
54,52326,121.445884757,31.1952507928,121.447435,31.19634167,121.445424,31.194791
55,52327,121.445819113,31.1951780145,121.4474233,31.19633333,121.445424,31.194791
56,52327,121.445997611,31.1952648679,121.4474083,31.19632667,121.445424,31.194791
57,52328,121.44592428,31.1952045054,121.4474083,31.19632667,121.445424,31.194791
58,52328,121.445984042,31.1952516213,121.447395,31.19631667,121.445424,31.194791
59,52329,121.44588272,31.1952257346,121.447395,31.19631667,121.445424,31.194791
60,52329,121.445985293,31.1952217796,121.4473783,31.1963,121.445424,31.194791
61,52329,121.446064286,31.1952747269,121.4473783,31.1963,121.445424,31.194791
62,52330,121.445996185,31.1952462198,121.447365,31.19629333,121.445424,31.194791
63,52330,121.445836826,31.1951704997,121.447365,31.19629333,121.445424,31.194791
64,52331,121.445785281,31.1951856357,121.447365,31.19629333,121.445424,31.194791
65,52331,121.445835734,31.1951893348,121.4473533,31.19628667,121.445424,31.194791
66,52332,121.445937933,31.1952600833,121.4473417,31.196285,121.445424,31.194791
67,52332,121.4458766,31.1952267342,121.4473417,31.196285,121.445424,31.194791
68,52333,121.446135121,31.1953033076,121.4473417,31.196285,121.445424,31.194791
69,52333,121.445950126,31.1952172282,121.44733,31.196275,121.445424,31.194791
70,52334,121.44601971,31.1952347591,121.44733,31.196275,121.445424,31.194791
71,52334,121.446050424,31.1952719243,121.4473167,31.19626333,121.445424,31.194791
72,52335,121.445923987,31.1952086254,121.4473167,31.19626333,121.445424,31.194791
73,52335,121.445981188,31.1952341683,121.447305,31.19625333,121.445424,31.194791
74,52336,121.445936274,31.1951971937,121.447305,31.19625333,121.445424,31.194791
75,52336,121.446068889,31.1952978537,121.447305,31.19625333,121.445424,31.194791
76,52337,121.446146729,31.1953401952,121.4472967,31.19624333,121.445424,31.194791
77,52337,121.446146537,31.1952392162,121.4472883,31.19623167,121.445424,31.194791
78,52338,121.446176852,31.1953153279,121.4472883,31.19623167,121.445424,31.194791
79,52338,121.446173129,31.1952823818,121.44728,31.196225,121.445424,31.194791
80,52339,121.446060947,31.1952272521,121.44728,31.196225,121.445424,31.194791
81,52339,121.445848165,31.1951986041,121.4472717,31.19621833,121.445424,31.194791
82,52340,121.445770781,31.1951885047,121.4472717,31.19621833,121.445424,31.194791
83,52340,121.445972299,31.1952664196,121.447265,31.19620833,121.445424,31.194791
84,52341,121.445911853,31.1952546816,121.447265,31.19620833,121.445424,31.194791
85,52341,121.445922508,31.1952687932,121.447265,31.19620833,121.445424,31.194791
86,52341,121.445873765,31.1952065002,121.4472617,31.1962,121.445424,31.194791
87,52342,121.446083122,31.1953156775,121.4472567,31.19619,121.445424,31.194791
88,52342,121.445995401,31.1952498251,121.4472567,31.19619,121.445424,31.194791
89,52343,121.445850365,31.1951908073,121.4472517,31.19618167,121.445424,31.194791
90,52343,121.445794611,31.1951623985,121.4472517,31.19618167,121.445424,31.194791
