Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
13:34:36,MS1,80121,UL,Measurement Report,,,,,33,579,121.4428333,31.193475,-71,-64,6,0,30,,,,,,,,,,,,,21,,,,,,577,566,565,571,569,570,-63,-74,-87,-90,,
13:34:37,MS1,80241,UL,Measurement Report,,,,,33,579,121.4428333,31.193475,-62,-62,0,0,30,,,,,,,,,,,,,,21,,,,,582,577,583,566,569,565,-50,-63,-68,-73,-80,-87
13:34:37,MS1,80361,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-61,-64,0,0,30,,,,,,,,,,,,,31,,,72,30,74,19,582,18,12,15,20,-47,-50,-55,-59,-62,-62
13:34:38,MS1,80481,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-60,-58,0,0,30,,,,,,,,,,,,,31,,,21,72,74,19,582,18,577,12,20,-45,-51,-54,-59,-61,-61
13:34:38,MS1,80601,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-61,-61,0,0,28,,,,,,,,,,,,,31,11,,72,74,30,19,582,18,12,20,15,-49,-53,-55,-60,-64,-67
13:34:39,MS1,80721,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-63,-63,0,0,28,,,,,,,,,,,,,11,31,,30,72,21,582,19,18,15,12,577,-50,-53,-55,-56,-59,-66
13:34:39,MS1,80841,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-65,-64,0,0,28,,,,,,,,,,,,,31,11,0,30,21,74,19,582,18,15,577,20,-48,-52,-55,-56,-60,-62
13:34:40,MS1,80961,UL,Measurement Report,,,6243,54402,33,579,121.4428333,31.193475,-63,-62,0,0,28,,,,,,,,,,,,,31,11,21,72,0,30,19,582,577,12,18,15,-48,-53,-54,-55,-55,-56
13:34:40,MS1,81081,UL,Measurement Report,,,6243,54402,33,579,121.442835,31.193475,-68,-65,0,0,26,,,,,,,,,,,,,31,11,0,30,21,72,19,582,18,15,577,12,-48,-50,-54,-56,-57,-59
13:34:41,MS1,81201,UL,Measurement Report,,,6243,54402,33,579,121.442835,31.193475,-69,-69,1,0,26,,,,,,,,,,,,,31,11,30,21,0,72,19,582,15,577,18,12,-46,-50,-53,-55,-55,-62
