Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1440053477.0,1.0,1.0,1.0,1.0,1.0,1.0,163,51724,1.0,1.0,121.472033,31.235739,-63.0,-63.0,1.0,1.0,1.0,163,163,163,163,163,163,51724,51711,51483,50502,50041,50501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-63.0,-65.0,-63.5,-62.5,-65.5,-65.5
1440053478.0,1.0,1.0,1.0,1.0,1.0,1.0,163,51724,1.0,1.0,121.472018,31.235763,-60.0,-60.0,1.0,1.0,1.0,163,163,-999,-999,-999,-999,51724,51711,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-60.0,-61.0,0.0,0.0,0.0,0.0
1440057924.0,1.0,1.0,1.0,1.0,1.0,1.0,167,22011,1.0,1.0,121.467185,31.248262,-68.0,-68.0,1.0,1.0,1.0,167,167,167,-999,-999,-999,22011,21893,21121,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-68.0,-68.5,-68.5,0.0,0.0,0.0
1440058044.0,1.0,1.0,1.0,1.0,1.0,1.0,167,22013,1.0,1.0,121.459089,31.246727,-71.0,-71.0,1.0,1.0,1.0,167,167,167,167,167,-999,22013,22072,22011,21343,21893,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-71.0,-68.5,-67.5,-70.5,-70.5,0.0
1440058283.0,1.0,1.0,1.0,1.0,1.0,1.0,167,10323,1.0,1.0,121.452287,31.243904,-52.5,-52.5,1.0,1.0,1.0,167,167,167,167,-999,-999,10323,11353,10321,10973,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,-58.0,-60.0,-58.0,0.0,0.0
1440061047.0,1.0,1.0,1.0,1.0,1.0,1.0,167,30973,1.0,1.0,121.449753,31.246644,-61.5,-61.5,1.0,1.0,1.0,167,167,171,-999,-999,-999,30973,30321,30701,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-61.5,-61.0,-63.0,0.0,0.0,0.0
1440061104.0,1.0,1.0,1.0,1.0,1.0,1.0,167,50321,1.0,1.0,121.450969,31.245207,-66.0,-66.0,1.0,1.0,1.0,167,167,167,167,-999,-999,50321,50973,51353,51352,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-66.0,-63.0,-63.0,-64.0,0.0,0.0
1440061105.0,1.0,1.0,1.0,1.0,1.0,1.0,167,50321,1.0,1.0,121.451006,31.24517,-67.5,-67.5,1.0,1.0,1.0,167,167,167,167,-999,-999,50321,51353,51352,50323,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-67.5,-62.5,-63.0,-65.0,0.0,0.0
1440061131.0,1.0,1.0,1.0,1.0,1.0,1.0,167,50323,1.0,1.0,121.452007,31.244181,-60.0,-60.0,1.0,1.0,1.0,167,167,-999,-999,-999,-999,50323,51353,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-60.0,-59.5,0.0,0.0,0.0,0.0
1440061166.0,1.0,1.0,1.0,1.0,1.0,1.0,167,50323,1.0,1.0,121.452581,31.243547,-60.5,-60.5,1.0,1.0,1.0,167,167,167,167,-999,-999,50323,50973,51353,50321,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-60.5,-60.5,-60.5,-64.0,0.0,0.0
