Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8,1.0,1.0,90,91,4.0,4.0,1.0,1.0,1.0,7,21,35,49,63,77,8,22,36,50,64,78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,18.0,32.0,46.0,60.0,74.0
1440000590.0,1.0,1.0,1.0,1.0,1.0,1.0,204,283,1.0,1.0,121.390548114,31.1162301218,-56.0,-56.0,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,283,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-56.0,0.0,0.0,0.0,0.0,0.0
1440000598.0,1.0,1.0,1.0,1.0,1.0,1.0,204,283,1.0,1.0,121.389819639,31.1175793476,-54.0,-54.0,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,283,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-54.0,0.0,0.0,0.0,0.0,0.0
1440000622.0,1.0,1.0,1.0,1.0,1.0,1.0,204,281,1.0,1.0,121.391650394,31.121205562,-57.0,-57.0,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,281,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-57.0,0.0,0.0,0.0,0.0,0.0
1440011846.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.5,-53.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,0.0,0.0,0.0,0.0,0.0
1440011853.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.0,-53.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.0,0.0,0.0,0.0,0.0,0.0
1440011861.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.5,-53.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,0.0,0.0,0.0,0.0,0.0
1440011871.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-52.5,-52.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,0.0,0.0,0.0,0.0,0.0
1440011878.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-52.5,-52.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,0.0,0.0,0.0,0.0,0.0
1440011904.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-54.0,-54.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-54.0,0.0,0.0,0.0,0.0,0.0
