Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1440012727.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1643,1.0,1.0,121.401466823,31.1836515439,-51.5,-51.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1643,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-51.5,0.0,0.0,0.0,0.0,0.0
1440012735.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1643,1.0,1.0,121.402285058,31.1840279146,-51.5,-51.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1643,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-51.5,0.0,0.0,0.0,0.0,0.0
1440012757.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1643,1.0,1.0,121.404212442,31.1845064704,-55.0,-55.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1643,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-55.0,0.0,0.0,0.0,0.0,0.0
1440012764.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1643,1.0,1.0,121.404414473,31.1845765293,-56.0,-56.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1643,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-56.0,0.0,0.0,0.0,0.0,0.0
1440012974.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1093,1.0,1.0,121.417025096,31.1879471368,-57.5,-57.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1093,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-57.5,0.0,0.0,0.0,0.0,0.0
1440012996.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1092,1.0,1.0,121.418723138,31.1884815794,-47.5,-47.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1092,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-47.5,0.0,0.0,0.0,0.0,0.0
1440013056.0,1.0,1.0,1.0,1.0,1.0,1.0,205,711,1.0,1.0,121.418738509,31.1928607363,-58.5,-58.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,711,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-58.5,0.0,0.0,0.0,0.0,0.0
1440013079.0,1.0,1.0,1.0,1.0,1.0,1.0,205,841,1.0,1.0,121.41737149,31.1946883086,-46.0,-46.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,841,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-46.0,0.0,0.0,0.0,0.0,0.0
1440013137.0,1.0,1.0,1.0,1.0,1.0,1.0,169,21052,1.0,1.0,121.413632676,31.1998342365,-66.5,-66.5,1.0,1.0,1.0,169,169,169,169,-999,-999,21052,20822,22002,20773,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-66.5,-67.0,-66.5,-71.0,0.0,0.0
1440013138.0,1.0,1.0,1.0,1.0,1.0,1.0,169,21052,1.0,1.0,121.413632676,31.1998342365,-66.0,-66.0,1.0,1.0,1.0,169,169,-999,-999,-999,-999,21052,20822,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-66.0,-68.5,0.0,0.0,0.0,0.0
1440013353.0,1.0,1.0,1.0,1.0,1.0,1.0,171,21482,1.0,1.0,121.422140449,31.2091666166,-55.0,-55.0,1.0,1.0,1.0,171,171,171,171,-999,-999,21482,20053,20632,21403,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-55.0,-55.5,-57.5,-56.5,0.0,0.0
1440013366.0,1.0,1.0,1.0,1.0,1.0,1.0,171,21482,1.0,1.0,121.42263205,31.2092863356,-53.5,-53.5,1.0,1.0,1.0,171,171,171,-999,-999,-999,21482,20053,20632,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,-57.0,-55.5,0.0,0.0,0.0
1440013378.0,1.0,1.0,1.0,1.0,1.0,1.0,171,21482,1.0,1.0,121.421332078,31.208974057,-53.5,-53.5,1.0,1.0,1.0,171,171,171,-999,-999,-999,21482,20053,20632,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,-57.5,-56.5,0.0,0.0,0.0
1440013379.0,1.0,1.0,1.0,1.0,1.0,1.0,171,21482,1.0,1.0,121.421091258,31.2089171827,-54.0,-54.0,1.0,1.0,1.0,171,171,171,-999,-999,-999,21482,20053,20632,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-54.0,-57.5,-56.5,0.0,0.0,0.0
