Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1440011846.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.5,-53.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,0.0,0.0,0.0,0.0,0.0
1440011853.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.0,-53.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.0,0.0,0.0,0.0,0.0,0.0
1440011861.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-53.5,-53.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-53.5,0.0,0.0,0.0,0.0,0.0
1440011871.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-52.5,-52.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,0.0,0.0,0.0,0.0,0.0
1440011878.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-52.5,-52.5,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,0.0,0.0,0.0,0.0,0.0
1440011904.0,1.0,1.0,1.0,1.0,1.0,1.0,205,1663,1.0,1.0,121.395933027,31.1658445461,-54.0,-54.0,1.0,1.0,1.0,205,-999,-999,-999,-999,-999,1663,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-54.0,0.0,0.0,0.0,0.0,0.0
1440012247.0,1.0,1.0,1.0,1.0,1.0,1.0,204,50942,1.0,1.0,121.395618219,31.1700465461,-52.5,-52.5,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,50942,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-52.5,0.0,0.0,0.0,0.0,0.0
1440012255.0,1.0,1.0,1.0,1.0,1.0,1.0,204,50942,1.0,1.0,121.39469866,31.1697469305,-43.0,-43.0,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,50942,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-43.0,0.0,0.0,0.0,0.0,0.0
1440012278.0,1.0,1.0,1.0,1.0,1.0,1.0,204,50941,1.0,1.0,121.392284001,31.1689731585,-44.0,-44.0,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,50941,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-44.0,0.0,0.0,0.0,0.0,0.0
1440012337.0,1.0,1.0,1.0,1.0,1.0,1.0,204,1171,1.0,1.0,121.389560401,31.1750043981,-62.5,-62.5,1.0,1.0,1.0,204,-999,-999,-999,-999,-999,1171,-999,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-62.5,0.0,0.0,0.0,0.0,0.0
