Time,MS,Frame Number,Direction,Message Type,Event,EventInfo,All-LAC,All-Cell Id,All-BSIC (Num),All-ARFCN BCCH,All-Longitude,All-Latitude,All-RxLev Full (dBm),All-RxLev Sub (dBm),All-RxQual Full,All-RxQual Sub,All-MS TxPower (dBm),All-Neighbor LAC (Sorted)[1],All-Neighbor LAC (Sorted)[2],All-Neighbor LAC (Sorted)[3],All-Neighbor LAC (Sorted)[4],All-Neighbor LAC (Sorted)[5],All-Neighbor LAC (Sorted)[6],All-Neighbor Cell Id (Sorted)[1],All-Neighbor Cell Id (Sorted)[2],All-Neighbor Cell Id (Sorted)[3],All-Neighbor Cell Id (Sorted)[4],All-Neighbor Cell Id (Sorted)[5],All-Neighbor Cell Id (Sorted)[6],All-Neighbor BSIC (Num) (Sorted)[1],All-Neighbor BSIC (Num) (Sorted)[2],All-Neighbor BSIC (Num) (Sorted)[3],All-Neighbor BSIC (Num) (Sorted)[4],All-Neighbor BSIC (Num) (Sorted)[5],All-Neighbor BSIC (Num) (Sorted)[6],All-Neighbor ARFCN (Sorted)[1],All-Neighbor ARFCN (Sorted)[2],All-Neighbor ARFCN (Sorted)[3],All-Neighbor ARFCN (Sorted)[4],All-Neighbor ARFCN (Sorted)[5],All-Neighbor ARFCN (Sorted)[6],All-Neighbor RxLev (dBm) (Sorted)[1],All-Neighbor RxLev (dBm) (Sorted)[2],All-Neighbor RxLev (dBm) (Sorted)[3],All-Neighbor RxLev (dBm) (Sorted)[4],All-Neighbor RxLev (dBm) (Sorted)[5],All-Neighbor RxLev (dBm) (Sorted)[6]
1462851983.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482445116,31.2061154753,71.75,71.75,1.0,1.0,1.0,99099,112683,-999,-999,-999,-999,13,11,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.75,78.63,0.0,0.0,0.0,0.0
1462851984.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482536809,31.2061372275,70.12,70.12,1.0,1.0,1.0,99099,103174,112683,-999,-999,-999,13,12,11,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.12,82.75,74.13,0.0,0.0,0.0
1462851985.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482629498,31.2061599773,72.0,72.0,1.0,1.0,1.0,99099,99099,112683,-999,-999,-999,13,11,11,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,76.0,78.75,0.0,0.0,0.0
1462851986.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482629498,31.2061599773,72.88,72.88,1.0,1.0,1.0,99099,99099,112683,-999,-999,-999,13,11,11,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.88,77.75,80.63,0.0,0.0,0.0
1462851987.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482805906,31.2062075027,73.62,73.62,1.0,1.0,1.0,99099,99077,103174,99097,112683,-999,13,12,12,13,11,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.62,75.37,88.5,75.75,81.25,0.0
1462851988.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.482888629,31.2062372836,68.12,68.12,1.0,1.0,1.0,99099,99077,99097,-999,-999,-999,13,12,13,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.12,77.88,74.13,0.0,0.0,0.0
1462851989.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.48296338,31.2062770917,68.12,68.12,1.0,1.0,1.0,99099,116737,99097,103226,-999,-999,13,11,13,12,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.12,69.13,73.88,78.0,0.0,0.0
1462851990.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.483045107,31.2063088761,69.0,69.0,1.0,1.0,1.0,99099,99099,103256,-999,-999,-999,13,11,13,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,72.25,73.5,0.0,0.0,0.0
1462851991.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.483045107,31.2063088761,65.0,65.0,1.0,1.0,1.0,99099,99077,112683,-999,-999,-999,13,12,11,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.13,73.13,0.0,0.0,0.0
1462851992.0,1.0,1.0,1.0,1.0,1.0,1.0,99099,13,1.0,1.0,121.48320756,31.2063464349,65.12,65.12,1.0,1.0,1.0,99099,103256,-999,-999,-999,-999,13,13,-999,-999,-999,-999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.12,71.75,0.0,0.0,0.0,0.0
